scenario,heavy_ion_rate_per_bit_s,proton_rate_per_bit_s,total_sbu_toggle_rate_per_bit_s,upsets_per_bit_day,refresh_interval_s,single_read_ber_mean_uniform_in_refresh_interval,single_read_ber_at_refresh_endpoint,single_32bit_word_read_error_mean_independent_bits,single_write_radiation_ber_upper_proxy,single_32bit_word_write_error_upper_proxy,radiation_event_probability_during_read_window_upper_proxy,expected_wrong_bits_at_refresh_endpoint_for_262144bit_array,is_statistical_confidence_bound,interpretation
partial_low,7.667869049851425e-15,4.971389830742304e-14,5.738176735727447e-14,4.957784699668514e-09,1500.0,4.303632551548635e-11,8.60726510285032e-11,1.377162415576909e-09,8.894173940377543e-23,2.8461356609208136e-21,5.164359062154702e-23,2.2563429031215943e-05,False,measured-band partial contribution; not a mathematical lower bound for the target SRAM
engineering_nominal,1.0612437676658683e-13,6.565020671932172e-14,1.7177458348590855e-13,1.4841324013182499e-08,1500.0,1.2883093759230154e-10,2.576618751624732e-10,4.1225899947213344e-09,2.6625060440315827e-22,8.520019340901065e-21,1.5459712513731769e-22,6.754451460259138e-05,False,"cross-device engineering proxy, not a fitted target response"
engineering_high,8.078258849054836e-13,9.612593724590214e-14,9.039518221513858e-13,7.810143743387974e-08,1500.0,6.779638660006928e-10,1.3559277313885388e-09,2.1694843484043208e-08,1.401125324334648e-21,4.483601037870874e-20,8.135566399362472e-22,0.0003554483192171171,False,"deliberately conservative unsupported-gap scenario, not a confidence bound"
