level	let_mev_cm2_mg	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
high	0.7859178353732842	3.125e-11	8.612138346171874e-12	1.635969775023885e-10	2	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.8641338059702928	3.125e-11	8.612138346171874e-12	1.635969775023885e-10	2	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.9501339720405169	3.125e-11	8.612138346171874e-12	1.635969775023885e-10	2	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.0446930308574516	6.25e-11	1.883255870963048e-11	2.1233755340187954e-10	4	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.1486627789744865	6.25e-11	1.883255870963048e-11	2.1233755340187954e-10	4	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.2629797852852982	1.25e-10	4.9900193694843436e-11	2.9919191094256596e-10	8	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.3886738277211363	1.7187500000000001e-10	7.750942949374884e-11	3.6002416953808506e-10	11	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.5268771695835615	1.8750000000000002e-10	8.783231035271844e-11	3.7918178681059033e-10	12	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.6788347590746675	2.65625e-10	1.4114955682623385e-10	4.73267030994449e-10	17	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.845915443903066	3.125e-10	1.7456314857275505e-10	5.282949336423523e-10	20	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.0296243019878424	4.0625e-10	2.456696257966828e-10	6.340714452072735e-10	26	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.231616199336572	5e-10	3.209569174044731e-10	7.356671423883323e-10	32	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.4537106972279603	6.093750000000001e-10	4.1163930238197025e-10	8.513482443311591e-10	39	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.697908442984415	6.562500000000001e-10	4.519355361699154e-10	8.994935049376384e-10	42	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.9664091919840407	8.437500000000001e-10	6.184196760400068e-10	1.086775342645245e-09	54	128	ngspice_Qcrit_plus_RPP_charge_collection
high	3.2616316232560276	9.21875e-10	6.897187721829251e-10	1.1628787371597008e-09	59	128	ngspice_Qcrit_plus_RPP_charge_collection
high	3.5862351271600956	1.1093750000000002e-09	8.665980617704715e-10	1.3397654251498527e-09	71	128	ngspice_Qcrit_plus_RPP_charge_collection
high	3.943143761415333	1.234375e-09	9.894229656427697e-10	1.452784506329353e-09	79	128	ngspice_Qcrit_plus_RPP_charge_collection
high	4.3355725912766045	1.390625e-09	1.148651755668841e-09	1.58836069761803e-09	89	128	ngspice_Qcrit_plus_RPP_charge_collection
high	4.767056651133094	1.4843750000000003e-09	1.2479701493983126e-09	1.6659252926774076e-09	95	128	ngspice_Qcrit_plus_RPP_charge_collection
high	5.241482788417792	1.53125e-09	1.2980349054042071e-09	1.7043020310659373e-09	98	128	ngspice_Qcrit_plus_RPP_charge_collection
high	5.763124676680697	1.6093750000000001e-09	1.385674417997533e-09	1.7640650091299857e-09	103	128	ngspice_Qcrit_plus_RPP_charge_collection
high	6.336681313226615	1.640625e-09	1.4209218059630142e-09	1.787778617427454e-09	105	128	ngspice_Qcrit_plus_RPP_charge_collection
high	6.967319348107885	1.6875000000000002e-09	1.4784720506326846e-09	1.8186698671522084e-09	108	128	ngspice_Qcrit_plus_RPP_charge_collection
high	7.66071962577526	1.7500000000000002e-09	1.547672510231789e-09	1.8673914000790033e-09	112	128	ngspice_Qcrit_plus_RPP_charge_collection
high	8.423128358638493	1.8125e-09	1.6287464645649291e-09	1.904239438271762e-09	116	128	ngspice_Qcrit_plus_RPP_charge_collection
high	9.261413393512631	1.8125e-09	1.6287464645649291e-09	1.904239438271762e-09	116	128	ngspice_Qcrit_plus_RPP_charge_collection
high	10.183126077803173	1.84375e-09	1.6790953224817068e-09	1.912851576617934e-09	118	128	ngspice_Qcrit_plus_RPP_charge_collection
high	11.196569282726479	1.8593750000000001e-09	1.6972131227914244e-09	1.9242142744396915e-09	119	128	ngspice_Qcrit_plus_RPP_charge_collection
high	12.31087219632451	1.8593750000000001e-09	1.6972131227914244e-09	1.9242142744396915e-09	119	128	ngspice_Qcrit_plus_RPP_charge_collection
high	13.53607256001634	1.8750000000000002e-09	1.7156303219958954e-09	1.9352775733666955e-09	120	128	ngspice_Qcrit_plus_RPP_charge_collection
high	14.883207089480676	1.9375e-09	1.793401089285108e-09	1.975428798603382e-09	124	128	ngspice_Qcrit_plus_RPP_charge_collection
high	16.364410894388737	1.9375e-09	1.793401089285108e-09	1.975428798603382e-09	124	128	ngspice_Qcrit_plus_RPP_charge_collection
high	17.993026792569662	1.9375e-09	1.793401089285108e-09	1.975428798603382e-09	124	128	ngspice_Qcrit_plus_RPP_charge_collection
high	19.783725503320237	1.96875e-09	1.8364030224976117e-09	1.991387861653828e-09	126	128	ngspice_Qcrit_plus_RPP_charge_collection
high	21.752637802570973	1.984375e-09	1.8600349242062521e-09	1.9972364580766624e-09	127	128	ngspice_Qcrit_plus_RPP_charge_collection
high	23.917499830374645	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	26.297812859659718	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	28.915018965460593	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	31.79269417706873	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	34.95676085303643	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	38.43572119212726	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	42.26091398369991	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	46.466796910356955	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	51.09125694586618	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	56.175951644446236	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	61.76668439578286	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	67.91381702610504	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	74.67272346207035	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	82.10428854410439	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	90.27545648254898	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	99.25983389716369	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	109.13835287221285	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	120.0	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.01	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.010995218165011596	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.012089482249620098	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.013292649483660822	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.014615558106387948	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.016070124998313926	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.01766945302954682	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.01942794909162924	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.021361453876120245	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.02348738456897747	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.025824891746143414	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.028395031883665423	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.031220957036336136	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.03432812339349699	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.037744520590693754	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.041500923842845025	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.045631171170161265	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.050172468214091034	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.055165723389104096	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.06065591638938824	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.06669250337000263	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.07332986245239502	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.08062778356743756	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.0886520070485313	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.09747481582647473	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.10717568656064148	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.1178420055719155	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.1295698560265723	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.1424648834621305	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.15664324745190775	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.17223266798096232	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.18937357595926882	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.20822037823605558	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.22894284851066635	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.25172765666939767	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.27678005032471653	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.30432570370431467	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
