level	sample	node	total_rows	segment_rows	array_columns	column_mux_ratio	simultaneous_output_bits	injection_time_ns	qcrit_fc	qcrit_status	n_present	par_scale	dvth_cell_mv	dvth_ref_mv	static_sa_offset_mv	dynamic_noise_mv	equivalent_dvth_sa_mv	vth_sigma_mv	mobility_process_scale	combined_mobility_scale	tid_global_dvth_n_mv	tid_global_dvth_p_mv	tid_off_current_scale
low	0	gbl	2048	256	128	4	32	1.25	17.1875	resolved	118	0.9916362822343927	-6.417289905348906	5.034830795906118	-6.7833861978427485	0.15786384228760178	-6.625522355555146	12.0	0.9608709464224904	0.9608709464224904	0.0	0.0	1.001938786
low	0	sa	2048	256	128	4	32	1.82	15.234375	resolved	118	0.9916362822343927	-6.417289905348906	5.034830795906118	-6.7833861978427485	0.13852230857460385	-6.644863889268144	12.0	0.9608709464224904	0.9608709464224904	0.0	0.0	1.001938786
low	1	gbl	2048	256	128	4	32	1.62	19.53125	resolved	131	0.9932527994926393	-16.675317283666246	29.00646241739811	-6.419014917929127	-2.747441959907303	-9.166456877836431	12.0	0.9963703182836409	0.9963703182836409	0.0	0.0	1.001938786
low	1	sa	2048	256	128	4	32	1.66	10.15625	resolved	131	0.9932527994926393	-16.675317283666246	29.00646241739811	-6.419014917929127	0.6878024300136412	-5.731212487915486	12.0	0.9963703182836409	0.9963703182836409	0.0	0.0	1.001938786
low	2	gbl	2048	256	128	4	32	1.4	17.578125	resolved	139	1.0029675011590076	-13.085829937936625	12.289992101033988	4.622438707802027	0.8497864508164606	5.472225158618487	12.0	0.9912662926731548	0.9912662926731548	0.0	0.0	1.001938786
low	2	sa	2048	256	128	4	32	1.66	10.546875	resolved	139	1.0029675011590076	-13.085829937936625	12.289992101033988	4.622438707802027	0.05461411611199643	4.677052823914023	12.0	0.9912662926731548	0.9912662926731548	0.0	0.0	1.001938786
low	3	gbl	2048	256	128	4	32	1.4	17.578125	resolved	122	0.9793566528093075	-7.366738146607684	-4.603676843551342	0.24825301105496167	-2.0689945200068394	-1.8207415089518777	12.0	0.9745924874309417	0.9745924874309417	0.0	0.0	1.001938786
low	3	sa	2048	256	128	4	32	1.82	15.625	resolved	122	0.9793566528093075	-7.366738146607684	-4.603676843551342	0.24825301105496167	-1.5431330123603397	-1.294880001305378	12.0	0.9745924874309417	0.9745924874309417	0.0	0.0	1.001938786
low	4	gbl	2048	256	128	4	32	1.4	16.796875	resolved	128	1.0124312896577083	-7.674930368712156	21.678807136871775	-0.9662254913446893	1.1395822884628017	0.17335679711811247	12.0	0.9571174476032545	0.9571174476032545	0.0	0.0	1.001938786
low	4	sa	2048	256	128	4	32	1.66	10.546875	resolved	128	1.0124312896577083	-7.674930368712156	21.678807136871775	-0.9662254913446893	0.2836889570312503	-0.682536534313439	12.0	0.9571174476032545	0.9571174476032545	0.0	0.0	1.001938786
low	5	gbl	2048	256	128	4	32	1.4	17.96875	resolved	133	0.9958287836086289	3.239471337038453	-8.755728105669112	5.055814723491904	-0.29161591495739153	4.764198808534513	12.0	0.9780251583420762	0.9780251583420762	0.0	0.0	1.001938786
low	5	sa	2048	256	128	4	32	1.82	15.625	resolved	133	0.9958287836086289	3.239471337038453	-8.755728105669112	5.055814723491904	0.46364360761281664	5.519458331104721	12.0	0.9780251583420762	0.9780251583420762	0.0	0.0	1.001938786
low	6	gbl	2048	256	128	4	32	1.25	17.96875	resolved	144	0.9928912967822262	2.7144088898140275	-2.577590398995829	-3.3626697781784243	2.211254252482994	-1.1514155256954304	12.0	1.0115852771213112	1.0115852771213112	0.0	0.0	1.001938786
low	6	sa	2048	256	128	4	32	1.75	14.0625	resolved	144	0.9928912967822262	2.7144088898140275	-2.577590398995829	-3.3626697781784243	-0.4797201000798181	-3.8423898782582424	12.0	1.0115852771213112	1.0115852771213112	0.0	0.0	1.001938786
low	7	gbl	2048	256	128	4	32	1.55	17.578125	resolved	123	1.007731406638746	11.54069298750818	16.022483335026664	2.9704035551868877	-0.44343374391364815	2.5269698112732395	12.0	1.0989895673234282	1.0989895673234282	0.0	0.0	1.001938786
low	7	sa	2048	256	128	4	32	1.66	11.328125	resolved	123	1.007731406638746	11.54069298750818	16.022483335026664	2.9704035551868877	0.725038843825172	3.6954423990120597	12.0	1.0989895673234282	1.0989895673234282	0.0	0.0	1.001938786
low	8	gbl	2048	256	128	4	32	1.4	17.1875	resolved	130	1.0192189435896901	-3.902823764025175	2.1565656798518353	-4.428302449183885	0.6648037149963564	-3.763498734187529	12.0	0.9885460392523072	0.9885460392523072	0.0	0.0	1.001938786
low	8	sa	2048	256	128	4	32	1.66	10.546875	resolved	130	1.0192189435896901	-3.902823764025175	2.1565656798518353	-4.428302449183885	-0.33139335577652096	-4.759695804960407	12.0	0.9885460392523072	0.9885460392523072	0.0	0.0	1.001938786
low	9	gbl	2048	256	128	4	32	1.1	18.359375	resolved	129	0.9876532567342854	7.800969676242669	-9.853392737631989	-3.39723582245895	1.0380760915280358	-2.359159730930914	12.0	1.0076054387095963	1.0076054387095963	0.0	0.0	1.001938786
low	9	sa	2048	256	128	4	32	1.88	70.3125	resolved	129	0.9876532567342854	7.800969676242669	-9.853392737631989	-3.39723582245895	-1.4706031139770677	-4.8678389364360175	12.0	1.0076054387095963	1.0076054387095963	0.0	0.0	1.001938786
low	10	gbl	2048	256	128	4	32	1.1	17.1875	resolved	120	0.9784053135670463	-8.968210415973221	8.504073085934946	-3.784152577972182	-0.2319686157168581	-4.01612119368904	12.0	0.9973691072939145	0.9973691072939145	0.0	0.0	1.001938786
low	10	sa	2048	256	128	4	32	1.82	15.625	resolved	120	0.9784053135670463	-8.968210415973221	8.504073085934946	-3.784152577972182	-0.010405155530485521	-3.7945577335026672	12.0	0.9973691072939145	0.9973691072939145	0.0	0.0	1.001938786
low	11	gbl	2048	256	128	4	32	1.62	22.265625	resolved	132	1.0334263155794305	-2.778784086031133	-9.378883488548064	-3.637837887260668	1.4150249923440783	-2.2228128949165895	12.0	1.0089340910563782	1.0089340910563782	0.0	0.0	1.001938786
