pvt_corner,tid_corner,desired_bit,node,strike_time_ns,strike_source,strike_sink,adverse_polarity,status,qcrit_fc,lower_no_fail_fc,upper_fail_fc,iterations
high_vdd_hot,conservative,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,3.640625,3.6375,3.6437500000000003,13
high_vdd_hot,conservative,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,2.5718750000000004,2.5687500000000005,2.5750000000000006,11
high_vdd_hot,conservative,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,2.2406249999999996,2.2375,2.24375,11
high_vdd_hot,stress_not_a_fit,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_hot,stress_not_a_fit,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_hot,stress_not_a_fit,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_hot,stress_not_a_fit,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_hot,stress_not_a_fit,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_hot,stress_not_a_fit,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_hot,stress_not_a_fit,1,q,1.6,q,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_hot,stress_not_a_fit,1,q,1.69,q,0,high_charge_removal,bracketed,1.3531250000000001,1.35,1.3562500000000002,9
high_vdd_hot,stress_not_a_fit,1,q,1.74,q,0,high_charge_removal,bracketed,1.378125,1.375,1.38125,9
high_vdd_hot,stress_not_a_fit,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,3.6593750000000007,3.6562500000000004,3.6625000000000005,13
high_vdd_hot,stress_not_a_fit,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,2.5718750000000004,2.5687500000000005,2.5750000000000006,11
high_vdd_hot,stress_not_a_fit,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,2.2406249999999996,2.2375,2.24375,11
low_vdd_cold,central,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,central,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,central,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,central,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,central,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,central,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,central,1,q,1.6,q,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,central,1,q,1.69,q,0,high_charge_removal,bracketed,1.503125,1.5,1.50625,9
low_vdd_cold,central,1,q,1.74,q,0,high_charge_removal,bracketed,1.615625,1.6125,1.61875,11
low_vdd_cold,central,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,6.490625,6.4875,6.49375,15
low_vdd_cold,central,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,2.890625,2.8875,2.8937500000000003,11
low_vdd_cold,central,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,2.5656250000000007,2.562500000000001,2.5687500000000005,11
low_vdd_cold,conservative,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,conservative,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,conservative,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,conservative,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,conservative,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,conservative,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,conservative,1,q,1.6,q,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,conservative,1,q,1.69,q,0,high_charge_removal,bracketed,1.496875,1.49375,1.5,9
low_vdd_cold,conservative,1,q,1.74,q,0,high_charge_removal,bracketed,1.609375,1.6062500000000002,1.6125,11
low_vdd_cold,conservative,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,6.5843750000000005,6.581250000000001,6.5875,15
low_vdd_cold,conservative,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,2.8968750000000005,2.8937500000000003,2.9000000000000004,11
low_vdd_cold,conservative,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,2.5718750000000004,2.5687500000000005,2.5750000000000006,11
low_vdd_cold,stress_not_a_fit,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,stress_not_a_fit,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,stress_not_a_fit,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,stress_not_a_fit,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,stress_not_a_fit,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,stress_not_a_fit,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_cold,stress_not_a_fit,1,q,1.6,q,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_cold,stress_not_a_fit,1,q,1.69,q,0,high_charge_removal,bracketed,1.490625,1.4875,1.49375,9
low_vdd_cold,stress_not_a_fit,1,q,1.74,q,0,high_charge_removal,bracketed,1.6031250000000001,1.6,1.6062500000000002,11
low_vdd_cold,stress_not_a_fit,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,6.790625,6.7875000000000005,6.793750000000001,15
low_vdd_cold,stress_not_a_fit,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,2.9093750000000007,2.9062500000000004,2.9125000000000005,11
low_vdd_cold,stress_not_a_fit,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,2.578125000000001,2.5750000000000006,2.5812500000000007,11
low_vdd_hot,central,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,central,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,central,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,central,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,central,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,central,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,central,1,q,1.6,q,0,high_charge_removal,bracketed,3.328125,3.325,3.3312500000000003,13
low_vdd_hot,central,1,q,1.69,q,0,high_charge_removal,bracketed,1.034375,1.03125,1.0375,9
low_vdd_hot,central,1,q,1.74,q,0,high_charge_removal,bracketed,1.046875,1.0437500000000002,1.05,9
low_vdd_hot,central,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,2.140625,2.1375,2.1437500000000003,11
low_vdd_hot,central,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,1.646875,1.6437500000000003,1.6500000000000001,11
low_vdd_hot,central,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,1.5218749999999999,1.5187499999999998,1.525,9
