residence_time_s,mean_hold_state_error_probability,static_cross_section_write_window_proxy,dynamic_to_hold_cross_section_multiplier_needed_for_equal_contribution
1e-06,8.588729174295427e-20,2.6625060440315827e-22,322.5806451612903
0.001,8.588729174295427e-17,2.6625060440315827e-22,322580.6451612903
1.0,8.588729174294444e-14,2.6625060440315827e-22,322580645.1612534
1500.0,1.2883093759230154e-10,2.6625060440315827e-22,483870967658.8187
