radiation_scenario,electrical_scenario,reset_or_scrub_interval_s,physical_toggle_rate_per_bit_s,post_write_wrong_probability,read_error_given_correct_state,read_error_given_wrong_state,mean_stored_state_wrong_probability_per_read,joint_raw_bit_read_error_probability,secded_codeword_bits,joint_independent_bit_secded_due_probability,combination_rule,is_ngspice_derived,is_total_target_ber
engineering_nominal,ptm32_access_low_vdd_cold__tid_conservative,1500.0,1.7177458348590855e-13,0.0,0.0,1.0,1.288308904001667e-10,1.288308904001667e-10,72,5.656397457088644e-17,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_cold__tid_conservative,3600.0,1.7177458348590855e-13,0.0,0.0,1.0,3.091942812893933e-10,3.091942812893933e-10,72,3.258084857502091e-16,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_cold__tid_conservative,86400.0,1.7177458348590855e-13,0.0,0.0,1.0,7.420661918278171e-09,7.420661918278171e-09,72,1.8766559184081336e-13,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,1.0,1.7177458348590855e-13,0.0,0.0,1.0,8.587575095475586e-14,8.587575095475586e-14,72,2.5139408481124255e-23,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,60.0,1.7177458348590855e-13,0.0,0.0,1.0,5.153211191100127e-12,5.153211191100127e-12,72,9.050236772470751e-20,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,1500.0,1.7177458348590855e-13,0.0,0.0,1.0,1.288308904001667e-10,1.288308904001667e-10,72,5.656397457088644e-17,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,3600.0,1.7177458348590855e-13,0.0,0.0,1.0,3.091942812893933e-10,3.091942812893933e-10,72,3.258084857502091e-16,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,86400.0,1.7177458348590855e-13,0.0,0.0,1.0,7.420661918278171e-09,7.420661918278171e-09,72,1.8766559184081336e-13,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_central,1.0,1.7177458348590855e-13,0.0,0.0,1.0,8.587575095475586e-14,8.587575095475586e-14,72,2.5139408481124255e-23,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_central,60.0,1.7177458348590855e-13,0.0,0.0,1.0,5.153211191100127e-12,5.153211191100127e-12,72,9.050236772470751e-20,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_central,1500.0,1.7177458348590855e-13,0.0,0.0,1.0,1.288308904001667e-10,1.288308904001667e-10,72,5.656397457088644e-17,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_central,3600.0,1.7177458348590855e-13,0.0,0.0,1.0,3.091942812893933e-10,3.091942812893933e-10,72,3.258084857502091e-16,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_central,86400.0,1.7177458348590855e-13,0.0,0.0,1.0,7.420661918278171e-09,7.420661918278171e-09,72,1.8766559184081336e-13,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_conservative,1.0,1.7177458348590855e-13,0.0,0.0,1.0,8.587575095475586e-14,8.587575095475586e-14,72,2.5139408481124255e-23,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_conservative,60.0,1.7177458348590855e-13,0.0,0.0,1.0,5.153211191100127e-12,5.153211191100127e-12,72,9.050236772470751e-20,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_conservative,1500.0,1.7177458348590855e-13,0.0,0.0,1.0,1.288308904001667e-10,1.288308904001667e-10,72,5.656397457088644e-17,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_conservative,3600.0,1.7177458348590855e-13,0.0,0.0,1.0,3.091942812893933e-10,3.091942812893933e-10,72,3.258084857502091e-16,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_conservative,86400.0,1.7177458348590855e-13,0.0,0.0,1.0,7.420661918278171e-09,7.420661918278171e-09,72,1.8766559184081336e-13,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_stress_not_a_fit,1.0,1.7177458348590855e-13,0.0,0.0,1.0,8.587575095475586e-14,8.587575095475586e-14,72,2.5139408481124255e-23,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_stress_not_a_fit,60.0,1.7177458348590855e-13,0.0,0.0,1.0,5.153211191100127e-12,5.153211191100127e-12,72,9.050236772470751e-20,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_stress_not_a_fit,1500.0,1.7177458348590855e-13,0.0,0.0,1.0,1.288308904001667e-10,1.288308904001667e-10,72,5.656397457088644e-17,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_stress_not_a_fit,3600.0,1.7177458348590855e-13,0.0,0.0,1.0,3.091942812893933e-10,3.091942812893933e-10,72,3.258084857502091e-16,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_low_vdd_hot__tid_stress_not_a_fit,86400.0,1.7177458348590855e-13,0.0,0.0,1.0,7.420661918278171e-09,7.420661918278171e-09,72,1.8766559184081336e-13,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_central,1.0,1.7177458348590855e-13,0.0,0.0,1.0,8.587575095475586e-14,8.587575095475586e-14,72,2.5139408481124255e-23,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_central,60.0,1.7177458348590855e-13,0.0,0.0,1.0,5.153211191100127e-12,5.153211191100127e-12,72,9.050236772470751e-20,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_central,1500.0,1.7177458348590855e-13,0.0,0.0,1.0,1.288308904001667e-10,1.288308904001667e-10,72,5.656397457088644e-17,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_central,3600.0,1.7177458348590855e-13,0.0,0.0,1.0,3.091942812893933e-10,3.091942812893933e-10,72,3.258084857502091e-16,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_central,86400.0,1.7177458348590855e-13,0.0,0.0,1.0,7.420661918278171e-09,7.420661918278171e-09,72,1.8766559184081336e-13,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_conservative,1.0,1.7177458348590855e-13,0.0,0.0,1.0,8.587575095475586e-14,8.587575095475586e-14,72,2.5139408481124255e-23,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_conservative,60.0,1.7177458348590855e-13,0.0,0.0,1.0,5.153211191100127e-12,5.153211191100127e-12,72,9.050236772470751e-20,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_conservative,1500.0,1.7177458348590855e-13,0.0,0.0,1.0,1.288308904001667e-10,1.288308904001667e-10,72,5.656397457088644e-17,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_conservative,3600.0,1.7177458348590855e-13,0.0,0.0,1.0,3.091942812893933e-10,3.091942812893933e-10,72,3.258084857502091e-16,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_conservative,86400.0,1.7177458348590855e-13,0.0,0.0,1.0,7.420661918278171e-09,7.420661918278171e-09,72,1.8766559184081336e-13,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_stress_not_a_fit,1.0,1.7177458348590855e-13,0.0,0.0,1.0,8.587575095475586e-14,8.587575095475586e-14,72,2.5139408481124255e-23,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_stress_not_a_fit,60.0,1.7177458348590855e-13,0.0,0.0,1.0,5.153211191100127e-12,5.153211191100127e-12,72,9.050236772470751e-20,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_stress_not_a_fit,1500.0,1.7177458348590855e-13,0.0,0.0,1.0,1.288308904001667e-10,1.288308904001667e-10,72,5.656397457088644e-17,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_stress_not_a_fit,3600.0,1.7177458348590855e-13,0.0,0.0,1.0,3.091942812893933e-10,3.091942812893933e-10,72,3.258084857502091e-16,condition read on evolved stored state,True,False
engineering_nominal,ptm32_access_nominal__tid_stress_not_a_fit,86400.0,1.7177458348590855e-13,0.0,0.0,1.0,7.420661918278171e-09,7.420661918278171e-09,72,1.8766559184081336e-13,condition read on evolved stored state,True,False
