level	heavy_ion_set_rate_per_continuously_sensitive_bit_s	rate_ci95_bootstrap_low	rate_ci95_bootstrap_high	curve_grid_integral_rate_s	rate_low_pointwise_wilson_diagnostic	rate_high_pointwise_wilson_diagnostic	read_window_ns	probability_per_active_bit_read	probability_ci95_bootstrap_low	probability_ci95_bootstrap_high	confidence_scope	coupled_samples	bootstrap_resamples	spectrum	spectrum_normalization	solid_angle_assumption
high	2.1907912809173758e-10	3.6994411941599287e-13	6.562443473604637e-10	2.1908385637212556e-10	3.892219743254615e-11	1.958018371714795e-09	0.72	1.5773697222605106e-19	2.6635976597951485e-22	4.724959300995338e-19	paired-sample bootstrap within each envelope; excludes envelope/geometry/model uncertainty	64	10000	environment/target_orbit/SPENVIS_环境与模型输入.xlsx	mission-average omnidirectional rate from LET Spectrum (already 4pi)	4pi omnidirectional; not applied twice
low	1.7842367545996072e-17	9.727434342673054e-18	2.7912896810094327e-17	2.6574568691536646e-17	1.2192499643470877e-17	3.167167761808772e-10	0.72	1.2846504633117172e-26	7.003752726724599e-27	2.0097285703267916e-26	paired-sample bootstrap within each envelope; excludes envelope/geometry/model uncertainty	64	10000	environment/target_orbit/SPENVIS_环境与模型输入.xlsx	mission-average omnidirectional rate from LET Spectrum (already 4pi)	4pi omnidirectional; not applied twice
nominal	1.800608921839236e-15	1.2064630146697942e-15	2.565645076682953e-15	2.7587769285352616e-15	1.3079226872067404e-15	6.334373736723892e-10	0.72	1.29643842372425e-24	8.686533705622519e-25	1.8472644552117262e-24	paired-sample bootstrap within each envelope; excludes envelope/geometry/model uncertainty	64	10000	environment/target_orbit/SPENVIS_环境与模型输入.xlsx	mission-average omnidirectional rate from LET Spectrum (already 4pi)	4pi omnidirectional; not applied twice
