level	sample	node	total_rows	segment_rows	array_columns	column_mux_ratio	simultaneous_output_bits	injection_time_ns	qcrit_fc	qcrit_status	n_present	par_scale	dvth_cell_mv	dvth_ref_mv	static_sa_offset_mv	dynamic_noise_mv	equivalent_dvth_sa_mv	vth_sigma_mv	mobility_process_scale	combined_mobility_scale	tid_global_dvth_n_mv	tid_global_dvth_p_mv	tid_off_current_scale
low	0	gbl	2048	256	128	4	32	1.4	8.984375	resolved	131	0.9992522858038616	-57.93145622402906	-13.809477699225464	2.06427123723997	0.014912649667397596	2.0791838869073676	24.0	0.9930912963449504	0.9930912963449504	0.0	0.0	1.001938786
low	0	sa	2048	256	128	4	32	2.35	12.890625	resolved	131	0.9992522858038616	-57.93145622402906	-13.809477699225464	2.06427123723997	5.425470780240044	7.489742017480014	24.0	0.9930912963449504	0.9930912963449504	0.0	0.0	1.001938786
low	1	gbl	2048	256	128	4	32	1.4	8.984375	resolved	106	0.9953212277547068	-42.423358053339285	0.0188099879423608	5.960171011302829	0.7665837725319229	6.7267547838347514	24.0	1.03117584410566	1.03117584410566	0.0	0.0	1.001938786
low	1	sa	2048	256	128	4	32	2.25	10.15625	resolved	106	0.9953212277547068	-42.423358053339285	0.0188099879423608	5.960171011302829	8.009090514293218	13.969261525596046	24.0	1.03117584410566	1.03117584410566	0.0	0.0	1.001938786
low	2	gbl	2048	256	128	4	32	1.1	12.5	resolved	123	1.014306818635011	31.733585081057434	-0.9545118836544336	6.35486394737621	1.4095302016233098	7.76439414899952	24.0	1.026209144257575	1.026209144257575	0.0	0.0	1.001938786
low	2	sa	2048	256	128	4	32	2.42	37.890625	resolved	123	1.014306818635011	31.733585081057434	-0.9545118836544336	6.35486394737621	3.448494022359095	9.803357969735305	24.0	1.026209144257575	1.026209144257575	0.0	0.0	1.001938786
low	3	gbl	2048	256	128	4	32	1.55	8.59375	resolved	121	0.9893147003961655	5.2956921844148095	15.21207010935849	-3.325625958296607	0.2866994627629477	-3.0389264955336595	24.0	0.9702968969256461	0.9702968969256461	0.0	0.0	1.001938786
low	3	sa	2048	256	128	4	32	2.25	9.765625	resolved	121	0.9893147003961655	5.2956921844148095	15.21207010935849	-3.325625958296607	-1.235662790961459	-4.5612887492580665	24.0	0.9702968969256461	0.9702968969256461	0.0	0.0	1.001938786
low	4	gbl	2048	256	128	4	32	1.4	7.421875	resolved	127	0.999114240416937	-66.20914309203435	-5.265811787987293	-2.6573111420102755	-1.0040424478925056	-3.661353589902781	24.0	0.936501280547383	0.936501280547383	0.0	0.0	1.001938786
low	4	sa	2048	256	128	4	32	2.25	8.59375	resolved	127	0.999114240416937	-66.20914309203435	-5.265811787987293	-2.6573111420102755	-0.9612279279148506	-3.6185390699251263	24.0	0.936501280547383	0.936501280547383	0.0	0.0	1.001938786
low	5	gbl	2048	256	128	4	32	1.1	10.15625	resolved	119	0.9599674032170008	-1.1804107112298163	12.418146436060296	1.2801184977908409	3.45630308808557	4.7364215858764105	24.0	0.9726934751385468	0.9726934751385468	0.0	0.0	1.001938786
low	5	sa	2048	256	128	4	32	2.15	6.25	resolved	119	0.9599674032170008	-1.1804107112298163	12.418146436060296	1.2801184977908409	-3.120463793059239	-1.8403452952683983	24.0	0.9726934751385468	0.9726934751385468	0.0	0.0	1.001938786
low	6	gbl	2048	256	128	4	32	1.55	7.421875	resolved	122	0.9984201095046467	-23.363359221000266	15.660064103562988	3.1694693404838072	-4.686487718888042	-1.5170183784042348	24.0	1.0737108010904743	1.0737108010904743	0.0	0.0	1.001938786
low	6	sa	2048	256	128	4	32	2.15	6.640625	resolved	122	0.9984201095046467	-23.363359221000266	15.660064103562988	3.1694693404838072	4.2377350478288305	7.407204388312637	24.0	1.0737108010904743	1.0737108010904743	0.0	0.0	1.001938786
low	7	gbl	2048	256	128	4	32	1.62	8.203125	resolved	131	0.9743798037110872	-10.179001242753394	-16.269039094843926	-10.048563516060906	1.9881103347442544	-8.060453181316651	24.0	1.1165681184301108	1.1165681184301108	0.0	0.0	1.001938786
low	7	sa	2048	256	128	4	32	2.42	35.9375	resolved	131	0.9743798037110872	-10.179001242753394	-16.269039094843926	-10.048563516060906	3.996598354160125	-6.051965161900781	24.0	1.1165681184301108	1.1165681184301108	0.0	0.0	1.001938786
low	8	gbl	2048	256	128	4	32	1.62	10.9375	resolved	118	0.9661388357707135	29.109842663577496	14.666508988864852	5.969348924943759	5.874871133563419	11.844220058507178	24.0	1.0068315548004054	1.0068315548004054	0.0	0.0	1.001938786
low	8	sa	2048	256	128	4	32	2.25	10.9375	resolved	118	0.9661388357707135	29.109842663577496	14.666508988864852	5.969348924943759	2.7093963477067993	8.67874527265056	24.0	1.0068315548004054	1.0068315548004054	0.0	0.0	1.001938786
low	9	gbl	2048	256	128	4	32	1.4	9.765625	resolved	119	1.0619490886335798	13.37351244497276	4.780326896553351	-4.374001531932539	-0.0732388527129297	-4.447240384645468	24.0	0.9012517414056379	0.9012517414056379	0.0	0.0	1.001938786
low	9	sa	2048	256	128	4	32	2.35	12.5	resolved	119	1.0619490886335798	13.37351244497276	4.780326896553351	-4.374001531932539	-7.442575542101286	-11.816577074033825	24.0	0.9012517414056379	0.9012517414056379	0.0	0.0	1.001938786
low	10	gbl	2048	256	128	4	32	1.1	8.984375	resolved	127	0.8939776254450773	-19.521992063318194	-2.672981239769038	-2.007201707646759	0.11292677543269786	-1.8942749322140613	24.0	0.9112317527090894	0.9112317527090894	0.0	0.0	1.001938786
