level	heavy_ion_set_rate_per_continuously_sensitive_bit_s	rate_ci95_bootstrap_low	rate_ci95_bootstrap_high	curve_grid_integral_rate_s	rate_low_pointwise_wilson_diagnostic	rate_high_pointwise_wilson_diagnostic	read_window_ns	probability_per_active_bit_read	probability_ci95_bootstrap_low	probability_ci95_bootstrap_high	confidence_scope	coupled_samples	bootstrap_resamples	spectrum	spectrum_normalization	solid_angle_assumption
high	2.1919370912232317e-10	4.5207418041976063e-13	6.563689333765004e-10	2.1930274474643444e-10	3.898195953075548e-11	1.9583715976684134e-09	0.72	1.5781947056807269e-19	3.2549340990222763e-22	4.7258563203108025e-19	paired-sample bootstrap within each envelope; excludes envelope/geometry/model uncertainty	64	10000	environment/target_orbit/SPENVIS_环境与模型输入.xlsx	mission-average omnidirectional rate from LET Spectrum (already 4pi)	4pi omnidirectional; not applied twice
low	1.9287828298955032e-17	1.09180844911195e-17	2.9678489928590403e-17	2.977786017863666e-17	1.3692701859804682e-17	3.1671678072449125e-10	0.72	1.3887236375247624e-26	7.86102083360604e-27	2.136851274858509e-26	paired-sample bootstrap within each envelope; excludes envelope/geometry/model uncertainty	64	10000	environment/target_orbit/SPENVIS_环境与模型输入.xlsx	mission-average omnidirectional rate from LET Spectrum (already 4pi)	4pi omnidirectional; not applied twice
nominal	1.9675676511182334e-15	1.2837076609293956e-15	2.8855060121666114e-15	4.83861930508288e-15	1.7605631219395453e-15	6.334408451784694e-10	0.72	1.4166487088051281e-24	9.242695158691649e-25	2.0775643287599602e-24	paired-sample bootstrap within each envelope; excludes envelope/geometry/model uncertainty	64	10000	environment/target_orbit/SPENVIS_环境与模型输入.xlsx	mission-average omnidirectional rate from LET Spectrum (already 4pi)	4pi omnidirectional; not applied twice
