level	proton_event_rate_per_active_read_bit_s	proton_event_rate_ci95_low	proton_event_rate_ci95_high	proton_read_window_s	proton_read_error_probability_lower_bound	proton_read_error_probability_nominal	proton_read_error_probability_ci95_high	sample_median_rate_per_active_read_bit_s	sample_p05_rate_per_active_read_bit_s	sample_p95_rate_per_active_read_bit_s	spectrum_source	spectrum_normalization	model
high	1.664804432344761e-08	5.488873441864258e-09	2.4186292176190204e-08	7.2e-10	3.951988878142266e-18	1.1986591912882278e-17	1.7414130366856946e-17	1.664804432344761e-08	5.488873441864258e-09	2.4186292176190204e-08	C:\Users\思源\OneDrive\Desktop\太空计算课题组\device-models-main\device-models-main\environment\target_orbit\average_LET_proton_and_ion_spectra.txt#spacecraft-shielded-proton-spectrum	mission-average omnidirectional flux using 12.5664 sr	step_response_above_threshold_energy
low	2.0073877471880274e-10	1.1381556117676213e-10	2.2205120148307507e-10	7.2e-10	8.194720404726873e-20	1.4453191779753798e-19	1.5987686506781404e-19	2.0073877471880274e-10	1.1381556117676213e-10	2.2205120148307507e-10	C:\Users\思源\OneDrive\Desktop\太空计算课题组\device-models-main\device-models-main\environment\target_orbit\average_LET_proton_and_ion_spectra.txt#spacecraft-shielded-proton-spectrum	mission-average omnidirectional flux using 12.5664 sr	step_response_above_threshold_energy
nominal	6.590758599229995e-10	3.681123694571091e-10	2.4419843804388958e-09	7.2e-10	2.6504090600911855e-19	4.745346191445597e-19	1.7582287539160048e-18	6.590758599229995e-10	3.681123694571091e-10	2.4419843804388958e-09	C:\Users\思源\OneDrive\Desktop\太空计算课题组\device-models-main\device-models-main\environment\target_orbit\average_LET_proton_and_ion_spectra.txt#spacecraft-shielded-proton-spectrum	mission-average omnidirectional flux using 12.5664 sr	step_response_above_threshold_energy
