level	proton_energy_mev	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
high	147.09266677431748	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	171.51831784058382	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	200.0	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	0.5	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	0.5830281060297255	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	0.6798435448412177	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	0.7927357886906198	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	0.9243744909245456	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	1.077872617411859	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	1.256860061341878	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	1.4655694822171197	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	1.7089363989440256	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	1.9927159040031892	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	2.3236187587325836	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	2.709470088078	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	3.159394427592619	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	3.6840314986403864	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	4.295787814412312	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	5.009130066684769	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	5.840927231271547	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	6.810849482211396	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	7.9418333481344945	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	9.260624110733136	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	10.798408271867904	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	12.59155104576573	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	14.682456316378808	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	17.120569396005035	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	19.963546298206584	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	23.278617175760242	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	27.144176165949066	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	31.651635239541	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	36.90758589290662	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	43.03631980254152	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
