parasitic_scale	vdd_v	n_present	dvth_sa_mv	sa_enable_ns	sense_time_ns	access_from_preoff_ns	d0_margin_mv	d1_margin_mv	d0_effective_margin_mv	d1_effective_margin_mv	min_margin_mv	out0_v	out1_v	read0_ok	read1_ok
0.5	1.0	0.0	0.0	1.65	1.9	0.8999999999999999	99.0819	74.505	-99.0819	74.505	74.505	1.02224	1.0	0.0	1.0
0.5	1.0	127.5	0.0	1.65	1.9	0.8999999999999999	42.6932	44.4299	42.6932	44.4299	42.6932	1.80395e-05	0.999999	1.0	1.0
0.5	1.0	255.0	0.0	1.65	1.9	0.8999999999999999	33.823899999999995	30.6532	33.823899999999995	30.6532	30.6532	2.57386e-05	0.999999	1.0	1.0
1.0	1.0	0.0	0.0	1.65	1.9	0.8999999999999999	36.0598	49.4366	36.0598	49.4366	36.0598	0.000623547	0.999999	1.0	1.0
1.0	1.0	127.5	0.0	1.65	1.9	0.8999999999999999	32.0568	29.232	32.0568	29.232	29.232	0.00658379	0.999998	1.0	1.0
1.0	1.0	255.0	0.0	1.65	1.9	0.8999999999999999	23.683	20.456100000000003	-23.683	20.456100000000003	20.456100000000003	1.03235	0.999996	0.0	1.0
2.0	1.0	0.0	0.0	1.65	1.9	0.8999999999999999	31.291	28.2799	-31.291	28.2799	28.2799	1.01682	1.0	0.0	1.0
2.0	1.0	127.5	0.0	1.65	1.9	0.8999999999999999	19.0993	16.1689	-19.0993	16.1689	16.1689	1.0005	0.999998	0.0	1.0
2.0	1.0	255.0	0.0	1.65	1.9	0.8999999999999999	13.782900000000001	11.406400000000001	-13.782900000000001	11.406400000000001	11.406400000000001	0.999999	0.999999	0.0	1.0
