path_id,rows_per_local_bitline,column_mux_ratio,pvt_corner,tid_model_corner,vdd_v,temperature_c,tid_krad_si,local_bitline_capacitance_ff,global_bitline_capacitance_ff,read_latency_s,write_latency_s,selected_read_path_energy_j,selected_write_path_energy_j,minimum_pre_sense_margin_v,minimum_final_read_margin_v,minimum_final_write_margin_v,read_correct_both_values,write_correct_both_values,timing_proxy_cycle_s,timing_proxy_max_frequency_hz,configured_500mhz_feasible,is_stress_not_a_fit
r64_m2_low_vdd_cold__tid_central,64,2,low_vdd_cold,central,0.81,-40.0,14.32,11.0,3.5,3.19039e-10,4.0601e-11,1.066005e-14,7.32973e-16,0.43983599999999995,0.809998866578,0.8099999874912001,True,True,1.269039e-09,787997847.1898814,True,False
r64_m2_low_vdd_cold__tid_conservative,64,2,low_vdd_cold,conservative,0.81,-40.0,14.32,11.0,3.5,3.17944e-10,4.05192e-11,1.066015e-14,7.30611e-16,0.44126099999999996,0.809998863346,0.8099999874336,True,True,1.2679440000000001e-09,788678364.3441665,True,False
r64_m2_low_vdd_cold__tid_stress_not_a_fit,64,2,low_vdd_cold,stress_not_a_fit,0.81,-40.0,14.32,11.0,3.5,3.15354e-10,4.03062e-11,1.066085e-14,7.26912e-16,0.444666,0.809998860567,0.8099999873349001,True,True,1.265354e-09,790292676.9899964,True,True
r64_m2_low_vdd_hot__tid_central,64,2,low_vdd_hot,central,0.81,85.0,14.32,11.0,3.5,5.45751e-10,1.04823e-10,1.062555e-14,6.945435e-16,0.13762700000000005,0.6434610000000001,0.8099988779880001,True,True,1.4957510000000002e-09,668560475.6406647,True,False
r64_m2_low_vdd_hot__tid_conservative,64,2,low_vdd_hot,conservative,0.81,85.0,14.32,11.0,3.5,5.45759e-10,1.05157e-10,1.0610749999999999e-14,6.92683e-16,0.13764500000000002,0.643308,0.809998879165,True,True,1.495759e-09,668556899.8749131,True,False
r64_m2_low_vdd_hot__tid_stress_not_a_fit,64,2,low_vdd_hot,stress_not_a_fit,0.81,85.0,14.32,11.0,3.5,5.43496e-10,1.0509e-10,1.05872e-14,6.88989e-16,0.13871,0.6472119999999999,0.80999888183,True,True,1.4934960000000002e-09,669569921.8477986,True,True
r64_m2_nominal__tid_central,64,2,nominal,central,0.9,27.0,14.32,11.0,3.5,3.83154e-10,5.00092e-11,1.325195e-14,9.087865000000002e-16,0.349395,0.8990890109999999,0.8999999358009,True,True,1.3331540000000001e-09,750100888.5695125,True,False
r64_m2_nominal__tid_conservative,64,2,nominal,conservative,0.9,27.0,14.32,11.0,3.5,3.83201e-10,5.00998e-11,1.325195e-14,9.063485e-16,0.34923899999999997,0.899057236,0.8999999355345,True,True,1.3332010000000002e-09,750074444.8886551,True,False
r64_m2_nominal__tid_stress_not_a_fit,64,2,nominal,stress_not_a_fit,0.9,27.0,14.32,11.0,3.5,3.82649e-10,5.00454e-11,1.3253150000000001e-14,9.02273e-16,0.350811,0.899043413,0.8999999353336,True,True,1.332649e-09,750385135.1706263,True,True
r64_m4_high_vdd_cold__tid_central,64,4,high_vdd_cold,central,0.99,-40.0,14.32,11.0,5.0,2.0572e-10,2.61574e-11,1.736365e-14,1.3242799999999999e-15,0.760931,0.989999843422,0.9899999589824,True,True,1.1557200000000002e-09,865261482.0198662,True,False
r64_m4_high_vdd_cold__tid_conservative,64,4,high_vdd_cold,conservative,0.99,-40.0,14.32,11.0,5.0,2.05323e-10,2.61049e-11,1.73637e-14,1.32088e-15,0.762059,0.989999843069,0.9899999588302,True,True,1.1553230000000002e-09,865558809.0949455,True,False
r64_m4_high_vdd_cold__tid_stress_not_a_fit,64,4,high_vdd_cold,stress_not_a_fit,0.99,-40.0,14.32,11.0,5.0,2.04436e-10,2.59911e-11,1.73636e-14,1.3156e-15,0.7645170000000001,0.989999842448,0.9899999585407,True,True,1.154436e-09,866223853.0329962,True,True
r64_m4_high_vdd_hot__tid_central,64,4,high_vdd_hot,central,0.99,85.0,14.32,11.0,5.0,4.15348e-10,5.55296e-11,1.757825e-14,1.12265e-15,0.302843,0.9771595799999999,0.989997767595,True,True,1.3653480000000002e-09,732414007.2714062,True,False
r64_m4_high_vdd_hot__tid_conservative,64,4,high_vdd_hot,conservative,0.99,85.0,14.32,11.0,5.0,4.15718e-10,5.57293e-11,1.75791e-14,1.12023e-15,0.302125,0.97682327,0.9899977678730001,True,True,1.365718e-09,732215581.8404677,True,False
r64_m4_high_vdd_hot__tid_stress_not_a_fit,64,4,high_vdd_hot,stress_not_a_fit,0.99,85.0,14.32,11.0,5.0,4.15416e-10,5.57883e-11,1.75795e-14,1.1161e-15,0.30271500000000007,0.97672199,0.9899977694090001,True,True,1.365416e-09,732377531.8291276,True,True
r64_m4_low_vdd_cold__tid_central,64,4,low_vdd_cold,central,0.81,-40.0,14.32,11.0,5.0,3.46522e-10,4.0601e-11,1.1618600000000001e-14,7.32973e-16,0.40669000000000005,0.809996696213,0.8099999874912001,True,True,1.2965220000000002e-09,771294278.0762686,True,False
r64_m4_low_vdd_cold__tid_conservative,64,4,low_vdd_cold,conservative,0.81,-40.0,14.32,11.0,5.0,3.45391e-10,4.05192e-11,1.161915e-14,7.30611e-16,0.408013,0.809996690325,0.8099999874336,True,True,1.295391e-09,771967691.6081709,True,False
r64_m4_low_vdd_cold__tid_stress_not_a_fit,64,4,low_vdd_cold,stress_not_a_fit,0.81,-40.0,14.32,11.0,5.0,3.42712e-10,4.03062e-11,1.162015e-14,7.26912e-16,0.41117699999999996,0.8099966881549999,0.8099999873349001,True,True,1.292712e-09,773567507.6892611,True,True
r64_m4_low_vdd_hot__tid_central,64,4,low_vdd_hot,central,0.81,85.0,14.32,11.0,5.0,5.71704e-10,1.04823e-10,1.159445e-14,6.945435e-16,0.126761,0.597232,0.8099988779880001,True,True,1.5217040000000003e-09,657158028.1053344,True,False
r64_m4_low_vdd_hot__tid_conservative,64,4,low_vdd_hot,conservative,0.81,85.0,14.32,11.0,5.0,5.7172e-10,1.05157e-10,1.15786e-14,6.92683e-16,0.12677800000000006,0.5971219999999999,0.809998879165,True,True,1.52172e-09,657151118.4712037,True,False
r64_m4_low_vdd_hot__tid_stress_not_a_fit,64,4,low_vdd_hot,stress_not_a_fit,0.81,85.0,14.32,11.0,5.0,5.69229e-10,1.0509e-10,1.155595e-14,6.88989e-16,0.1277600000000001,0.601278,0.80999888183,True,True,1.519229e-09,658228614.6459816,True,True
r64_m4_nominal__tid_central,64,4,nominal,central,0.9,27.0,14.32,11.0,5.0,3.92993e-10,5.00092e-11,1.4437950000000003e-14,9.087865000000002e-16,0.3225349999999999,0.898307784,0.8999999358009,True,True,1.342993e-09,744605519.1650292,True,False
r64_m4_nominal__tid_conservative,64,4,nominal,conservative,0.9,27.0,14.32,11.0,5.0,3.93045e-10,5.00998e-11,1.443845e-14,9.063485e-16,0.322388,0.898259558,0.8999999355345,True,True,1.343045e-09,744576689.5375806,True,False
r64_m4_nominal__tid_stress_not_a_fit,64,4,nominal,stress_not_a_fit,0.9,27.0,14.32,11.0,5.0,3.92448e-10,5.00454e-11,1.4439099999999998e-14,9.02273e-16,0.32384,0.898248217,0.8999999353336,True,True,1.3424480000000002e-09,744907810.2094084,True,True
r64_m8_high_vdd_cold__tid_central,64,8,high_vdd_cold,central,0.99,-40.0,14.32,11.0,8.0,2.38529e-10,2.61574e-11,2.0290999999999998e-14,1.3242799999999999e-15,0.679872,0.9899998318859999,0.9899999589824,True,True,1.188529e-09,841376188.5490384,True,False
r64_m8_high_vdd_cold__tid_conservative,64,8,high_vdd_cold,conservative,0.99,-40.0,14.32,11.0,8.0,2.38065e-10,2.61049e-11,2.02907e-14,1.32088e-15,0.6810069999999999,0.9899998313,0.9899999588302,True,True,1.188065e-09,841704788.8793963,True,False
r64_m8_high_vdd_cold__tid_stress_not_a_fit,64,8,high_vdd_cold,stress_not_a_fit,0.99,-40.0,14.32,11.0,8.0,2.37036e-10,2.59911e-11,2.029065e-14,1.3156e-15,0.6835019999999999,0.989999830512,0.9899999585407,True,True,1.187036e-09,842434433.3280541,True,True
r64_m8_high_vdd_hot__tid_central,64,8,high_vdd_hot,central,0.99,85.0,14.32,11.0,8.0,4.39278e-10,5.55296e-11,2.05597e-14,1.12265e-15,0.2620769999999999,0.9609363,0.989997767595,True,True,1.3892780000000002e-09,719798341.2967023,True,False
r64_m8_high_vdd_hot__tid_conservative,64,8,high_vdd_hot,conservative,0.99,85.0,14.32,11.0,8.0,4.39724e-10,5.57293e-11,2.056155e-14,1.12023e-15,0.26144999999999996,0.9603092000000001,0.9899977678730001,True,True,1.389724e-09,719567338.5506762,True,False
r64_m8_high_vdd_hot__tid_stress_not_a_fit,64,8,high_vdd_hot,stress_not_a_fit,0.99,85.0,14.32,11.0,8.0,4.39382e-10,5.57883e-11,2.0562449999999997e-14,1.1161e-15,0.261961,0.9602178,0.9899977694090001,True,True,1.3893820000000002e-09,719744461.9262376,True,True
r64_m8_low_vdd_cold__tid_central,64,8,low_vdd_cold,central,0.81,-40.0,14.32,11.0,8.0,3.70032e-10,4.0601e-11,1.35605e-14,7.32973e-16,0.35325000000000006,0.8099829076499999,0.8099999874912001,True,True,1.320032e-09,757557392.5480595,True,False
r64_m8_low_vdd_cold__tid_conservative,64,8,low_vdd_cold,conservative,0.81,-40.0,14.32,11.0,8.0,3.6967e-10,4.05192e-11,1.356085e-14,7.30611e-16,0.354405,0.8099819112300001,0.8099999874336,True,True,1.31967e-09,757765198.8754764,True,False
r64_m8_low_vdd_cold__tid_stress_not_a_fit,64,8,low_vdd_cold,stress_not_a_fit,0.81,-40.0,14.32,11.0,8.0,3.68815e-10,4.03062e-11,1.35613e-14,7.26912e-16,0.35717,0.80998197591,0.8099999873349001,True,True,1.318815e-09,758256465.0841854,True,True
r64_m8_low_vdd_hot__tid_central,64,8,low_vdd_hot,central,0.81,85.0,14.32,11.0,8.0,6.24874e-10,1.04823e-10,1.341835e-14,6.945435e-16,0.10948400000000003,0.515506,0.8099988779880001,True,True,1.574874e-09,634971432.6352458,True,False
r64_m8_low_vdd_hot__tid_conservative,64,8,low_vdd_hot,conservative,0.81,85.0,14.32,11.0,8.0,6.24895e-10,1.05157e-10,1.339705e-14,6.92683e-16,0.10949799999999998,0.515438,0.809998879165,True,True,1.574895e-09,634962965.7850206,True,False
r64_m8_low_vdd_hot__tid_stress_not_a_fit,64,8,low_vdd_hot,stress_not_a_fit,0.81,85.0,14.32,11.0,8.0,6.21936e-10,1.0509e-10,1.33757e-14,6.88989e-16,0.11034900000000003,0.519422,0.80999888183,True,True,1.5719360000000002e-09,636158215.0927263,True,True
r64_m8_nominal__tid_central,64,8,nominal,central,0.9,27.0,14.32,11.0,8.0,4.1271e-10,5.00092e-11,1.68539e-14,9.087865000000002e-16,0.27951099999999995,0.89504805,0.8999999358009,True,True,1.3627100000000001e-09,733831849.7699436,True,False
r64_m8_nominal__tid_conservative,64,8,nominal,conservative,0.9,27.0,14.32,11.0,8.0,4.12774e-10,5.00998e-11,1.685455e-14,9.063485e-16,0.27937999999999996,0.8949464,0.8999999355345,True,True,1.362774e-09,733797386.8007461,True,False
r64_m8_nominal__tid_stress_not_a_fit,64,8,nominal,stress_not_a_fit,0.9,27.0,14.32,11.0,8.0,4.12086e-10,5.00454e-11,1.685545e-14,9.02273e-16,0.28064100000000003,0.89497374,0.8999999353336,True,True,1.3620860000000002e-09,734168033.4428222,True,True
r128_m1_high_vdd_cold__tid_central,128,1,high_vdd_cold,central,0.99,-40.0,14.32,20.0,2.75,2.78548e-10,2.60955e-11,2.412705e-14,1.32063e-15,0.605443,0.989998572432,0.9899999589824,True,True,1.228548e-09,813969010.5718294,True,False
r128_m1_high_vdd_cold__tid_conservative,128,1,high_vdd_cold,conservative,0.99,-40.0,14.32,20.0,2.75,2.78007e-10,2.60433e-11,2.41279e-14,1.317145e-15,0.606563,0.989998571812,0.9899999588301,True,True,1.228007e-09,814327605.6243979,True,False
r128_m1_high_vdd_cold__tid_stress_not_a_fit,128,1,high_vdd_cold,stress_not_a_fit,0.99,-40.0,14.32,20.0,2.75,2.76803e-10,2.59304e-11,2.41283e-14,1.31192e-15,0.608954,0.989998573706,0.9899999585408,True,True,1.226803e-09,815126797.0489149,True,True
r128_m1_high_vdd_hot__tid_central,128,1,high_vdd_hot,central,0.99,85.0,14.32,20.0,2.75,4.68215e-10,5.55065e-11,2.3857950000000002e-14,1.12004e-15,0.22472099999999995,0.9262142,0.989997767595,True,True,1.4182150000000002e-09,705111707.3222325,True,False
r128_m1_high_vdd_hot__tid_conservative,128,1,high_vdd_hot,conservative,0.99,85.0,14.32,20.0,2.75,4.68762e-10,5.57064e-11,2.3827649999999998e-14,1.11762e-15,0.22418000000000005,0.9251360000000001,0.9899977678730001,True,True,1.418762e-09,704839853.3369234,True,False
r128_m1_high_vdd_hot__tid_stress_not_a_fit,128,1,high_vdd_hot,stress_not_a_fit,0.99,85.0,14.32,20.0,2.75,4.68372e-10,5.57658e-11,2.378425e-14,1.1134549999999999e-15,0.22461999999999993,0.9251416,0.9899977694090001,True,True,1.4183720000000002e-09,705033658.3068475,True,True
r128_m1_low_vdd_cold__tid_central,128,1,low_vdd_cold,central,0.81,-40.0,14.32,20.0,2.75,3.85813e-10,4.05635e-11,1.60929e-14,7.31782e-16,0.30385699999999993,0.8098907718,0.8099999874912001,True,True,1.335813e-09,748607776.6873057,True,False
r128_m1_low_vdd_cold__tid_conservative,128,1,low_vdd_cold,conservative,0.81,-40.0,14.32,20.0,2.75,3.85391e-10,4.04816e-11,1.60931e-14,7.29377e-16,0.304856,0.8098892951000001,0.8099999874336,True,True,1.3353910000000002e-09,748844345.9630923,True,False
r128_m1_low_vdd_cold__tid_stress_not_a_fit,128,1,low_vdd_cold,stress_not_a_fit,0.81,-40.0,14.32,20.0,2.75,3.84395e-10,4.02704e-11,1.609345e-14,7.25578e-16,0.30724700000000005,0.8098888962999999,0.8099999873349001,True,True,1.334395e-09,749403287.6322229,True,True
r128_m1_low_vdd_hot__tid_central,128,1,low_vdd_hot,central,0.81,85.0,14.32,20.0,2.75,6.91279e-10,1.04818e-10,1.30006e-14,6.93094e-16,0.09371399999999996,0.43733999999999995,0.8099988779880001,True,True,1.641279e-09,609280932.7359943,True,False
