pvt_corner,tid_corner,condition_id,sample_id,seed,vdd_v,temperature_c,tid_dvn_v,tid_dvp_v,mobility_scale,cnode_ff,cbl_ff,cgbl_ff,dvth_nq_v,dvth_nqb_v,dvth_axq_v,dvth_axqb_v,dvth_pq_v,dvth_pqb_v,dvth_san_gbl_v,dvth_san_gblb_v,dvth_sap_gbl_v,dvth_sap_gblb_v,dvth_muxn_d_v,dvth_muxn_db_v,dvth_eq_v,dvth_eqg_v,dvth_muxp_d_v,dvth_muxp_db_v,dvth_pre_bl_v,dvth_pre_blb_v,dvth_pre_gbl_v,dvth_pre_gblb_v,w_nq_nm,w_nqb_nm,w_pq_nm,w_pqb_nm,w_axq_nm,w_axqb_nm,operation,stored_or_desired_bit,decision_margin_v,pre_sense_margin_v,operation_error,read_error_given_correct_state,read_error_given_wrong_state,read_disturb,rail_margin_over_vdd
high_vdd_cold,central,high_vdd_cold__tid_central,0,32382035,0.99,-40.0,0.0,0.0,1.0,0.3338234454808056,20.00099112825786,4.897213634793908,0.011145659667717255,0.00039041313465322893,-0.02575369825722261,0.003286123816895439,-0.007609968193149702,0.024022011933066516,-0.007984415067864167,0.007942961295301587,-0.008061870287195691,0.00995636529065315,-0.005435617615629321,-0.0030914427735812978,0.004495074050307095,-0.015572832346241976,-0.01782681834027006,0.00679825762464567,0.012355585017186074,0.013751414804756843,0.009349596252211585,-0.004301755015655148,125.35450497789527,117.75882745507002,90.87865420105594,94.35583926262692,97.69944874357498,98.73485867393106,read,0,0.98998927511,0.5619730000000001,False,False,True,False,0.9999891667777778
high_vdd_cold,central,high_vdd_cold__tid_central,0,32382035,0.99,-40.0,0.0,0.0,1.0,0.3338234454808056,20.00099112825786,4.897213634793908,0.011145659667717255,0.00039041313465322893,-0.02575369825722261,0.003286123816895439,-0.007609968193149702,0.024022011933066516,-0.007984415067864167,0.007942961295301587,-0.008061870287195691,0.00995636529065315,-0.005435617615629321,-0.0030914427735812978,0.004495074050307095,-0.015572832346241976,-0.01782681834027006,0.00679825762464567,0.012355585017186074,0.013751414804756843,0.009349596252211585,-0.004301755015655148,125.35450497789527,117.75882745507002,90.87865420105594,94.35583926262692,97.69944874357498,98.73485867393106,read,1,0.9899865329499999,0.525503,False,False,True,False,0.9999863969191919
high_vdd_cold,central,high_vdd_cold__tid_central,0,32382035,0.99,-40.0,0.0,0.0,1.0,0.3338234454808056,20.00099112825786,4.897213634793908,0.011145659667717255,0.00039041313465322893,-0.02575369825722261,0.003286123816895439,-0.007609968193149702,0.024022011933066516,-0.007984415067864167,0.007942961295301587,-0.008061870287195691,0.00995636529065315,-0.005435617615629321,-0.0030914427735812978,0.004495074050307095,-0.015572832346241976,-0.01782681834027006,0.00679825762464567,0.012355585017186074,0.013751414804756843,0.009349596252211585,-0.004301755015655148,125.35450497789527,117.75882745507002,90.87865420105594,94.35583926262692,97.69944874357498,98.73485867393106,write,0,0.9899999532444,,False,,,,0.9999999527721213
high_vdd_cold,central,high_vdd_cold__tid_central,0,32382035,0.99,-40.0,0.0,0.0,1.0,0.3338234454808056,20.00099112825786,4.897213634793908,0.011145659667717255,0.00039041313465322893,-0.02575369825722261,0.003286123816895439,-0.007609968193149702,0.024022011933066516,-0.007984415067864167,0.007942961295301587,-0.008061870287195691,0.00995636529065315,-0.005435617615629321,-0.0030914427735812978,0.004495074050307095,-0.015572832346241976,-0.01782681834027006,0.00679825762464567,0.012355585017186074,0.013751414804756843,0.009349596252211585,-0.004301755015655148,125.35450497789527,117.75882745507002,90.87865420105594,94.35583926262692,97.69944874357498,98.73485867393106,write,1,0.9899999534123,,False,,,,0.9999999529417172
high_vdd_cold,central,high_vdd_cold__tid_central,1,32382036,0.99,-40.0,0.0,0.0,1.0,0.38821437877944553,19.924839673443824,5.363701582106735,0.010335735829022787,-0.010329020669453908,-0.011621480071867522,-0.006392671205324817,-0.005928356415566511,0.0039352416432609,0.00823531367100231,-0.009208383447101865,-0.00011542847512393997,0.005441986600721965,0.003411945476834575,-0.009581879611414197,0.0034514430192272255,0.009988775413349662,-0.0009433487547740791,0.002865257494318177,-0.003633970887967229,0.002699568470815237,-0.004075163857824484,-0.002830051239555612,120.7197783289592,113.57989293287962,88.1264758810662,86.17891872947202,104.16219700300601,100.05184859431726,read,0,0.98998742863,0.553266,False,False,True,False,0.9999873016464647
high_vdd_cold,central,high_vdd_cold__tid_central,1,32382036,0.99,-40.0,0.0,0.0,1.0,0.38821437877944553,19.924839673443824,5.363701582106735,0.010335735829022787,-0.010329020669453908,-0.011621480071867522,-0.006392671205324817,-0.005928356415566511,0.0039352416432609,0.00823531367100231,-0.009208383447101865,-0.00011542847512393997,0.005441986600721965,0.003411945476834575,-0.009581879611414197,0.0034514430192272255,0.009988775413349662,-0.0009433487547740791,0.002865257494318177,-0.003633970887967229,0.002699568470815237,-0.004075163857824484,-0.002830051239555612,120.7197783289592,113.57989293287962,88.1264758810662,86.17891872947202,104.16219700300601,100.05184859431726,read,1,0.98998603482,0.5270569999999999,False,False,True,False,0.9999858937575757
high_vdd_cold,central,high_vdd_cold__tid_central,1,32382036,0.99,-40.0,0.0,0.0,1.0,0.38821437877944553,19.924839673443824,5.363701582106735,0.010335735829022787,-0.010329020669453908,-0.011621480071867522,-0.006392671205324817,-0.005928356415566511,0.0039352416432609,0.00823531367100231,-0.009208383447101865,-0.00011542847512393997,0.005441986600721965,0.003411945476834575,-0.009581879611414197,0.0034514430192272255,0.009988775413349662,-0.0009433487547740791,0.002865257494318177,-0.003633970887967229,0.002699568470815237,-0.004075163857824484,-0.002830051239555612,120.7197783289592,113.57989293287962,88.1264758810662,86.17891872947202,104.16219700300601,100.05184859431726,write,0,0.9899999557315,,False,,,,0.9999999552843435
high_vdd_cold,central,high_vdd_cold__tid_central,1,32382036,0.99,-40.0,0.0,0.0,1.0,0.38821437877944553,19.924839673443824,5.363701582106735,0.010335735829022787,-0.010329020669453908,-0.011621480071867522,-0.006392671205324817,-0.005928356415566511,0.0039352416432609,0.00823531367100231,-0.009208383447101865,-0.00011542847512393997,0.005441986600721965,0.003411945476834575,-0.009581879611414197,0.0034514430192272255,0.009988775413349662,-0.0009433487547740791,0.002865257494318177,-0.003633970887967229,0.002699568470815237,-0.004075163857824484,-0.002830051239555612,120.7197783289592,113.57989293287962,88.1264758810662,86.17891872947202,104.16219700300601,100.05184859431726,write,1,0.9899999517195,,False,,,,0.9999999512318182
high_vdd_cold,central,high_vdd_cold__tid_central,2,32382037,0.99,-40.0,0.0,0.0,1.0,0.3120555075081182,22.00801157817065,5.937819497018269,-0.012034858683805987,-0.007740998709173682,0.006647411401805896,0.010903269560735918,-0.0175253578405595,-0.007718147769695243,0.004433160121329779,-0.00684472458130766,-0.003467300105708859,-0.007755293921425825,-0.011700121118017768,-0.002492848324969274,0.004907692986036556,-0.002984126181766887,-0.0015358648923963498,0.013170041147200431,-0.005549178187901591,0.008554631489952065,-0.006660897261038718,0.00724441885770453,116.05151314618472,114.68025440580202,96.32640523514812,96.34724390910647,101.91690549560842,101.11196781009517,read,0,0.9899584635,0.482464,False,False,True,False,0.999958043939394
high_vdd_cold,central,high_vdd_cold__tid_central,2,32382037,0.99,-40.0,0.0,0.0,1.0,0.3120555075081182,22.00801157817065,5.937819497018269,-0.012034858683805987,-0.007740998709173682,0.006647411401805896,0.010903269560735918,-0.0175253578405595,-0.007718147769695243,0.004433160121329779,-0.00684472458130766,-0.003467300105708859,-0.007755293921425825,-0.011700121118017768,-0.002492848324969274,0.004907692986036556,-0.002984126181766887,-0.0015358648923963498,0.013170041147200431,-0.005549178187901591,0.008554631489952065,-0.006660897261038718,0.00724441885770453,116.05151314618472,114.68025440580202,96.32640523514812,96.34724390910647,101.91690549560842,101.11196781009517,read,1,0.9899567361,0.472075,False,False,True,False,0.9999562990909091
high_vdd_cold,central,high_vdd_cold__tid_central,2,32382037,0.99,-40.0,0.0,0.0,1.0,0.3120555075081182,22.00801157817065,5.937819497018269,-0.012034858683805987,-0.007740998709173682,0.006647411401805896,0.010903269560735918,-0.0175253578405595,-0.007718147769695243,0.004433160121329779,-0.00684472458130766,-0.003467300105708859,-0.007755293921425825,-0.011700121118017768,-0.002492848324969274,0.004907692986036556,-0.002984126181766887,-0.0015358648923963498,0.013170041147200431,-0.005549178187901591,0.008554631489952065,-0.006660897261038718,0.00724441885770453,116.05151314618472,114.68025440580202,96.32640523514812,96.34724390910647,101.91690549560842,101.11196781009517,write,0,0.9899999503744,,False,,,,0.9999999498731313
high_vdd_cold,central,high_vdd_cold__tid_central,2,32382037,0.99,-40.0,0.0,0.0,1.0,0.3120555075081182,22.00801157817065,5.937819497018269,-0.012034858683805987,-0.007740998709173682,0.006647411401805896,0.010903269560735918,-0.0175253578405595,-0.007718147769695243,0.004433160121329779,-0.00684472458130766,-0.003467300105708859,-0.007755293921425825,-0.011700121118017768,-0.002492848324969274,0.004907692986036556,-0.002984126181766887,-0.0015358648923963498,0.013170041147200431,-0.005549178187901591,0.008554631489952065,-0.006660897261038718,0.00724441885770453,116.05151314618472,114.68025440580202,96.32640523514812,96.34724390910647,101.91690549560842,101.11196781009517,write,1,0.9899999516715,,False,,,,0.9999999511833334
high_vdd_cold,central,high_vdd_cold__tid_central,3,32382038,0.99,-40.0,0.0,0.0,1.0,0.33901610068259147,22.846945084835617,5.7993169959377555,0.001772303914302236,-0.00036134043581033116,0.007895963871017575,0.018723824305323426,-0.02295869303113875,0.012340334164511928,-0.006923311209975307,-0.001599127564135762,-0.010551857449325349,0.005104352370230986,0.0056579448841586515,-0.0004597621420890045,0.0011587854527569874,0.009508777333362231,0.006641844927828495,-0.0011091406568308824,-0.001076214219411497,0.0028974790430551347,-0.023367052931341736,-0.0011276885148036261,116.37303939876145,118.31086317862018,90.65071963841056,94.82748658395386,94.29703656872418,102.17709015035214,read,0,0.9899369982999999,0.44786099999999995,False,False,True,False,0.9999363619191919
